product_url,image_url,product_name,product_price
https://www.glassesshop.com/eyeglasses/fp1658,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5be3f5b1f014e.jpg",Rainbow - Multicolor,"
                                        "
https://www.glassesshop.com/eyeglasses/fp1643,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7e829c079.jpg",Isaiah - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fp1642,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5db268252d5bb.jpg",Isaiah - Blue,$19.95
https://www.glassesshop.com/eyeglasses/fp1504,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201712/5a2f9368909cd.jpg",Joyce - Brown,$12.95
https://www.glassesshop.com/eyeglasses/fp1112,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e55c8253927.jpg",Hyannis - Tortoise,$29.95
https://www.glassesshop.com/eyeglasses/fp0989,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/16050412_93503.jpg",Hillsborough - Black/Chocolate,$19.95
https://www.glassesshop.com/eyeglasses/fp0611,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201308/579184d95da43.jpg",Sudbury - Black,"
                                        "
https://www.glassesshop.com/eyeglasses/fp1920,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18ecb3495.jpg",Bloor - Purple,$12.95
https://www.glassesshop.com/eyeglasses/fp1913,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d0318964d19e.jpg",Cecilia - Black/Red,$29.95
https://www.glassesshop.com/eyeglasses/sup0702,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cff70bbf11a0.jpg",Ophelia - Black,$29.95
https://www.glassesshop.com/eyeglasses/fp1832,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b510480c.jpg",Tacab - Red,$19.95
https://www.glassesshop.com/eyeglasses/fp1829,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/15043802_37113.jpg",Averies - Blue,$19.95
https://www.glassesshop.com/eyeglasses/fp1828,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/16022300_39524.jpg",Averies - Pink,$19.95
https://www.glassesshop.com/eyeglasses/fp1841,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5ddb8c4a9ec74.jpg",Buttler - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp1812,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99d16406b78.jpg",Binghamton - Brown,"
                                        "
https://www.glassesshop.com/eyeglasses/fp1811,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5ddb8c3c536e3.jpg",Binghamton - Blue,$19.95
https://www.glassesshop.com/eyeglasses/fp1801,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99d163f3cfc.jpg",Utica - Green,$19.95
https://www.glassesshop.com/eyeglasses/fm1350,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5ddb8bfb033c3.jpg",Hawthorn - Gunmetal,$29.95
https://www.glassesshop.com/eyeglasses/fz1282,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/06053404_62610.jpg",Finn - Tortoise/Pink,$29.95
https://www.glassesshop.com/eyeglasses/fz1270,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/16045126_76201.jpg",Genevieve - Green Tortoise,$34.95
https://www.glassesshop.com/eyeglasses/fp1774,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201809/5bac31dd1b786.jpg",Winchester - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp1770,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/06052610_71003.jpg",Winchester - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fp1763,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/06052426_10975.jpg",Arlene - Crystal/Tortoise,$24.95
https://www.glassesshop.com/eyeglasses/fp1762,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee290c10.jpg",Arlene - Black,$24.95
https://www.glassesshop.com/eyeglasses/fp1704,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/15043653_71407.jpg",Heather - Brown,$29.95
https://www.glassesshop.com/eyeglasses/fp1719,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dccb019c5bcb.jpg",Jean - Black,$24.95
https://www.glassesshop.com/eyeglasses/fp1697,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/06052254_73681.jpg",Novia - Black/Crystal,$19.95
https://www.glassesshop.com/eyeglasses/fp1650,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7ec1ed503.jpg",Owen - Black/Crystal,$19.95
https://www.glassesshop.com/eyeglasses/fp1647,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7ea6d9e58.jpg",Angel  Wayframe - Brown,$19.95
https://www.glassesshop.com/eyeglasses/fp1615,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7cf63ef2a.jpg",Agnes - Purple,$19.95
https://www.glassesshop.com/eyeglasses/fp1661,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/12235338_58033.jpg",Derrick - Black/Golden,$24.95
https://www.glassesshop.com/eyeglasses/fp1560,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201801/5a6581e809680.jpg",Buffalo - Black,$24.95
https://www.glassesshop.com/eyeglasses/fp1508,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5be3f20114a9b.jpg",Bruno - Black,"
                                        "
https://www.glassesshop.com/eyeglasses/sm0787,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf282449.jpg",Darcy - Black,$19.95
https://www.glassesshop.com/eyeglasses/fz1094,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/13003028_42710.jpg",Buckeye - Pink,$29.95
https://www.glassesshop.com/eyeglasses/fp1180,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afb93d5384ec.jpg",Celeste - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp1169,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201605/57917ec7d36bf.jpg",Coolidge - Crystal/White,$29.95
https://www.glassesshop.com/eyeglasses/rm0247,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201603/57917f61e2e52.jpg",Terre - Golden,$32.95
https://www.glassesshop.com/eyeglasses/fp1934,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/05021535_97722.jpg",Lizzie - Black/Golden,$24.95
https://www.glassesshop.com/eyeglasses/fp1927,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d190b7a680.jpg",Bronti - Black,$12.95
https://www.glassesshop.com/eyeglasses/sup0700,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201907/5d1eb20d01a0a.jpg",Nodia - Black,$29.95
https://www.glassesshop.com/eyeglasses/fp1903,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/06053130_50710.jpg",Jinbee - Brown/Multicolor,$19.95
https://www.glassesshop.com/eyeglasses/sup0677,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ce4ad1f8a8cc.jpg",Rusa - Purple,$19.95
https://www.glassesshop.com/eyeglasses/sm0885,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5cdcb3e76b568.jpg",Sherwood - Gunmetal,$29.95
https://www.glassesshop.com/eyeglasses/sup0645,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cc2bffdcbaea.jpg",Smedley - Black/Golden,$29.95
https://www.glassesshop.com/eyeglasses/fp1872,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/06053053_36321.jpg",Defender - Mblack,$29.95
https://www.glassesshop.com/eyeglasses/fp1871,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cc16d5583e2d.jpg",Defender - Mblack/Pink,"
                                        "
https://www.glassesshop.com/eyeglasses/fp1837,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b5118db7.jpg",Husk - Purple,$19.95
https://www.glassesshop.com/eyeglasses/fp1833,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b5109276.jpg",Tacab - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp1815,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b41c0ffe.jpg",Durand - Black,"
                                        "
https://www.glassesshop.com/eyeglasses/fp1805,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99cd4245ab6.jpg",Watertown - Red,$19.95
https://www.glassesshop.com/eyeglasses/fp1804,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99d164020f0.jpg",Watertown - Brown,$19.95
https://www.glassesshop.com/eyeglasses/fp1800,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99cd4239ff6.jpg",Utica - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fp1793,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99cd42327df.jpg",Syracuse - Brown,$19.95
https://www.glassesshop.com/eyeglasses/fm1370,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/15043149_43701.jpg",Newark - Rose Gold,$24.95
https://www.glassesshop.com/eyeglasses/sup0617,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99d3d6241d0.jpg",GrandRapids - Matte Black,$29.95
https://www.glassesshop.com/eyeglasses/fz1290,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dccb04c44fbf.jpg",Hood - Tortoise,$34.95
https://www.glassesshop.com/eyeglasses/fm1352,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201812/5c244091e37ca.jpg",Haywood - Gunmetal,$29.95
